date,fgi,nasdaq,dividend_low_vol,gold_cny
2016-01,26,4613.95,,2.36
2016-02,55,4557.95,,2.59
2016-03,71,4869.85,,2.55
2016-04,67,4775.36,,2.66
2016-05,77,4948.05,,2.58
2016-06,62,4842.67,,2.82
2016-07,80,5162.13,,2.86
2016-08,62,5213.22,,2.82
2016-09,43,5312.00,,2.84
2016-10,26,5189.14,,2.79
2016-11,73,5323.68,,2.65
2016-12,58,5383.12,,2.64
2017-01,54,5614.79,,2.64
2017-02,64,5825.44,,2.77
2017-03,47,5911.74,,2.76
2017-04,49,6047.61,,2.81
2017-05,50,6198.52,,2.78
2017-06,49,6140.42,,2.71
2017-07,66,6348.12,,2.74
2017-08,43,6428.66,,2.76
2017-09,84,6495.96,,2.74
2017-10,69,6727.67,,2.72
2017-11,73,6873.97,,2.72
2017-12,53,6903.39,,2.71
2018-01,61,7411.48,,2.73
2018-02,15,7273.01,,2.69
2018-03,8,7063.45,,2.69
2018-04,42,7066.27,,2.69
2018-05,43,7442.12,,2.69
2018-06,34,7510.30,,2.66
2018-07,66,7671.79,,2.67
2018-08,71,8109.54,,2.65
2018-09,47,8046.35,,2.62
2018-10,7,7305.90,,2.72
2018-11,22,7330.54,,2.73
2018-12,12,6635.28,1.00,2.83
2019-01,58,7281.74,0.51,2.84
2019-02,72,7532.53,0.54,2.83
2019-03,49,7729.32,0.58,2.79
2019-04,65,8095.39,0.57,2.77
2019-05,24,7453.15,0.55,2.88
2019-06,50,8006.24,0.56,3.11
2019-07,48,8175.42,0.57,3.16
2019-08,23,7962.88,0.56,3.51
2019-09,54,7999.34,0.56,3.40
2019-10,72,8292.36,0.57,3.36
2019-11,79,8665.47,0.57,3.27
2019-12,93,8972.60,0.61,3.38
2020-01,44,9150.94,0.58,3.43
2020-02,10,8567.37,0.56,3.62
2020-03,25,7700.10,0.54,3.59
2020-04,47,8889.55,0.56,3.75
2020-05,52,9489.87,0.55,3.86
2020-06,47,10058.77,0.57,3.91
2020-07,65,10745.27,0.66,4.22
2020-08,74,11775.46,0.68,4.12
2020-09,52,11167.51,0.64,3.97
2020-10,42,10911.59,0.65,3.90
2020-11,65,12198.74,0.72,3.63
2020-12,65,12888.28,0.66,3.85
2021-01,60,13070.69,0.64,3.78
2021-02,65,13192.35,0.69,3.61
2021-03,65,13246.87,0.71,3.49
2021-04,66,13962.68,0.72,3.62
2021-05,63,13748.74,0.77,3.83
2021-06,67,14503.95,0.75,3.58
2021-07,55,14672.68,0.71,3.72
2021-08,52,15259.24,0.80,3.69
2021-09,48,14448.58,0.83,3.54
2021-10,58,15498.39,0.75,3.61
2021-11,70,15537.69,0.75,3.61
2021-12,65,15644.97,0.80,3.64
2022-01,42,14239.88,0.79,3.59
2022-02,35,13751.40,0.82,3.79
2022-03,38,14220.52,0.84,3.83
2022-04,28,12334.64,0.83,3.94
2022-05,22,12081.39,0.84,3.88
2022-06,28,11028.74,0.85,3.82
2022-07,42,12390.69,0.82,3.75
2022-08,35,11816.20,0.85,3.76
2022-09,28,10575.62,0.83,3.78
2022-10,35,10988.15,0.77,3.81
2022-11,35,11468.00,0.86,3.94
2022-12,32,10466.48,0.82,3.99
2023-01,48,11584.55,0.84,4.07
2023-02,50,11455.54,0.88,4.01
2023-03,45,12221.91,0.89,4.28
2023-04,55,12226.58,0.96,4.30
2023-05,45,12935.29,0.92,4.36
2023-06,60,13787.92,0.91,4.35
2023-07,55,14346.02,0.97,4.41
2023-08,48,14034.97,0.93,4.49
2023-09,38,13219.32,0.95,4.44
2023-10,42,12851.24,0.92,4.62
2023-11,62,14226.22,0.92,4.59
2023-12,65,15011.35,0.91,4.65
2024-01,65,15164.01,0.96,4.65
2024-02,72,16091.92,1.00,4.65
2024-03,65,16379.46,1.01,5.13
2024-04,55,15657.82,1.04,5.29
2024-05,60,16735.02,1.09,5.34
2024-06,58,17732.60,1.06,5.30
2024-07,50,17599.40,1.02,5.44
2024-08,52,17713.62,1.00,5.52
2024-09,58,18189.17,1.13,5.71
2024-10,60,18095.15,1.06,6.10
2024-11,78,19218.17,1.09,5.92
2024-12,70,19310.79,1.12,5.93
2025-01,55,19627.44,1.10,6.20
2025-02,40,18847.28,1.08,6.44
2025-03,25,17299.29,1.11,7.01
2025-04,22,17446.34,1.11,7.47
