date,fgi,us_stocks,cn_stocks,counter_cyclical
2016-01,26.00,1.000000,1.000000,1.000000
2016-02,55.00,0.975909,0.986923,1.094212
2016-03,71.00,1.035265,1.084804,1.080694
2016-04,67.00,1.004432,1.082098,1.125179
2016-05,77.00,1.049912,1.072175,1.085127
2016-06,62.00,1.027558,1.066759,1.188845
2016-07,80.00,1.111579,1.135319,1.206926
2016-08,62.00,1.128538,1.179975,1.195560
2016-09,43.00,1.146199,1.155166,1.202954
2016-10,26.00,1.146972,1.193507,1.177689
2016-11,73.00,1.158695,1.262069,1.131347
2016-12,58.00,1.173400,1.202523,1.114618
2017-01,54.00,1.229895,1.247987,1.124629
2017-02,64.00,1.262814,1.273182,1.190368
2017-03,47.00,1.291584,1.285217,1.173384
2017-04,49.00,1.311559,1.270197,1.197211
2017-05,50.00,1.355026,1.305374,1.178413
2017-06,49.00,1.302565,1.358048,1.153403
2017-07,66.00,1.331298,1.402974,1.161724
2017-08,43.00,1.332037,1.406052,1.173384
2017-09,84.00,1.359218,1.413751,1.171186
2017-10,69.00,1.420280,1.446504,1.156021
2017-11,73.00,1.443629,1.445477,1.157669
2017-12,53.00,1.448027,1.448135,1.151544
2018-01,61.00,1.552363,1.554725,1.155728
2018-02,15.00,1.538433,1.472815,1.139546
2018-03,8.00,1.475749,1.409275,1.140223
2018-04,42.00,1.552494,1.353639,1.138659
2018-05,43.00,1.648455,1.387915,1.134729
2018-06,34.00,1.709358,1.297904,1.124968
2018-07,66.00,1.781685,1.342842,1.129657
2018-08,71.00,1.896916,1.290146,1.119774
2018-09,47.00,1.905704,1.353449,1.109127
2018-10,7.00,1.755087,1.261169,1.149474
2018-11,22.00,1.762395,1.248008,1.152347
2018-12,12.00,1.479462,1.246178,1.193455
2019-01,58.00,1.618596,1.292427,1.201652
2019-02,72.00,1.658187,1.405605,1.198313
2019-03,49.00,1.734506,1.464351,1.176852
2019-04,65.00,1.831276,1.438010,1.175837
2019-05,24.00,1.717992,1.358987,1.216859
2019-06,50.00,1.842614,1.397201,1.315337
2019-07,48.00,1.886986,1.405713,1.337766
2019-08,23.00,1.902339,1.373915,1.479927
2019-09,54.00,1.911680,1.378275,1.438822
2019-10,72.00,1.986376,1.383530,1.420823
2019-11,79.00,2.058916,1.374769,1.384108
2019-12,93.00,2.120493,1.451892,1.421960
2020-01,44.00,2.199822,1.401030,1.450518
2020-02,10.00,2.039177,1.344623,1.522548
2020-03,25.00,1.882841,1.263562,1.517267
2020-04,47.00,2.157359,1.291954,1.585961
2020-05,52.00,2.311088,1.257875,1.630997
2020-06,47.00,2.439428,1.292322,1.654532
2020-07,65.00,2.583452,1.417149,1.783261
2020-08,74.00,2.818005,1.467852,1.741305
2020-09,52.00,2.633823,1.407503,1.674096
2020-10,42.00,2.516636,1.412161,1.648788
2020-11,65.00,2.727313,1.535474,1.537108
2020-12,65.00,2.840814,1.441041,1.618131
2021-01,60.00,2.831301,1.381682,1.593484
2021-02,65.00,2.822021,1.461351,1.525609
2021-03,65.00,2.904354,1.523593,1.477302
2021-04,66.00,3.038175,1.527780,1.535288
2021-05,63.00,2.950785,1.565170,1.617630
2021-06,67.00,3.185528,1.585284,1.512298
2021-07,55.00,3.278773,1.552681,1.573894
2021-08,52.00,3.423879,1.734114,1.559178
2021-09,48.00,3.233855,1.716356,1.494816
2021-10,58.00,3.439676,1.575574,1.527477
2021-11,70.00,3.501411,1.545882,1.519987
2021-12,65.00,3.537961,1.599000,1.540930
2022-01,42.00,3.139375,1.566243,1.520483
2022-02,35.00,3.073459,1.646625,1.592343
2022-03,38.00,3.224464,1.727310,1.621935
2022-04,28.00,2.873917,1.648659,1.666675
2022-05,22.00,2.830235,1.656574,1.637730
2022-06,28.00,2.586457,1.697152,1.609783
2022-07,42.00,2.921023,1.659059,1.577292
2022-08,35.00,2.826132,1.692805,1.588200
2022-09,28.00,2.592710,1.691560,1.600800
2022-10,35.00,2.718949,1.567578,1.607205
2022-11,35.00,2.865166,1.728218,1.663907
2022-12,32.00,2.538666,1.638802,1.682907
2023-01,48.00,2.728176,1.687347,1.714303
2023-02,50.00,2.780860,1.742014,1.691246
2023-03,45.00,3.006982,1.739155,1.804755
2023-04,55.00,3.037920,1.834791,1.815368
2023-05,45.00,3.337799,1.796366,1.840258
2023-06,60.00,3.616472,1.764399,1.835028
2023-07,55.00,3.705224,1.867010,1.862310
2023-08,48.00,3.681503,1.796322,1.897335
2023-09,38.00,3.484494,1.848693,1.827005
2023-10,42.00,3.410405,1.790628,1.947220
2023-11,62.00,3.732884,1.796071,1.934574
2023-12,65.00,3.913693,1.759563,1.956972
2024-01,65.00,3.989036,1.843930,1.957307
2024-02,72.00,4.191456,1.958387,1.960435
2024-03,65.00,4.232002,1.935163,2.149532
2024-04,55.00,4.051738,1.975008,2.222513
2024-05,60.00,4.304133,2.054693,2.252548
2024-06,58.00,4.572834,2.010230,2.236072
2024-07,50.00,4.490381,1.944513,2.289944
2024-08,52.00,4.526138,1.873519,2.329247
2024-09,58.00,4.573651,2.137352,2.416618
2024-10,60.00,4.601358,1.977954,2.572045
2024-11,78.00,4.861592,2.011391,2.492998
2024-12,70.00,4.871086,2.104385,2.491832
2025-01,55.00,4.872352,2.044391,2.604895
2025-02,40.00,4.804188,1.980550,2.715555
2025-03,25.00,4.441667,2.024147,2.956578
2025-04,22.00,4.514133,1.998913,3.155697
